GAP_between_Create_Last,TOTAL_EXPENSED_AMOUNT,APPROVED_AMT,PAID_IN_AMOUNT_ALLOCATION,EXPENSE_TYPE_DESC,CITY,Label
49,6652.68,59.5,59.5,4,1,1
49,6652.68,32,32,2,1,1
9,26360.32,111.5,111.5,1,1,1
0,14410.71,84,84,1,2,1
9,7294.69,290,290,4,1,1
0,6836.32,116.4,116.4,26,3,1
9,26360.32,169.74,169.74,1,1,1
9,26360.32,3117.92,3117.92,3,1,1
9,26360.32,298.62,298.62,4,1,1
0,14742.75,613.5,613.5,4,1,1
0,14742.75,613.5,613.5,4,1,1
0,992,21,21,2,2,1
2,22994.15,45.5,45.5,1,4,1
34,5990.2,42,42,4,5,1
34,5990.2,328,328,2,5,1
5,9729.1,399,399,1,1,1
0,8801.5,500,500,2,1,1
1,9994,2834,2834,1,6,1
5,9861.5,600,600,2,2,1
0,29168.79,226,226,2,1,1
0,29168.79,1374,1374,9,1,1
1,9191,239,239,1,2,1
0,3860,300,300,2,2,1
7,8883.7,194,194,1,7,1
7,8883.7,100,100,6,7,1
7,8883.7,695,695,2,7,1
7,8883.7,254.5,254.5,4,7,1
7,8883.7,450,450,2,7,1
21,2498,110.5,110.5,4,8,1
15,24983,2996,2996,1,2,1
3,682,210,210,17,1,1
0,11012,44,44,2,1,1
2,15497,2329,2329,1,9,1
3,11411.17,123,123,1,1,1
2,14213.5,142,142,1,10,1
26,4408,1592,1592,1,2,1
0,11012,53,53,2,1,1
7,5174,156,156,1,11,1
0,11012,55,55,2,1,1
7,8883.7,575,575,2,7,1
7,24662,416,416,26,1,1
21,2498,92,92,4,8,1
0,7422.6,290,290,1,12,1
19,7021.5,114,114,1,13,1
9,24168.3,295,295,1,2,1
9,24168.3,153,153,1,2,1
5,1823.09,188,188,1,2,1
0,2091.86,200,200,2,2,1
0,10597.27,2179.97,2179.97,2,7,1
0,10597.27,273,273,2,7,1
0,11730.5,519,519,2,1,1
3,4966.4,160,160,12,7,1
78,7031,226,226,1,2,1
0,11117.8,102,102,2,1,1
0,7892.95,148,148,2,13,1
0,7892.95,15,15,2,13,1
22,13898.18,390,390,26,4,1
10,15192.2,1935,1935,26,2,1
5,9756.6,121,121,1,14,1
34,16127.5,269,269,1,15,1
8,9596,112,112,1,2,1
5,1796,1796,1796,1,14,1
70,12157,21,21,2,2,1
0,5080.13,65.5,65.5,4,1,1
3,7368.11,50,50,6,1,1
3,7368.11,50,50,6,1,1
3,7368.11,154,154,2,1,1
3,7368.11,5,5,4,1,1
0,15680,200,200,1,15,1
8,7124.49,90,90,1,7,1
6,3268.91,46,46,11,7,1
3,7368.11,269,269,2,1,1
0,10597.27,100,100,6,7,1
3,7368.11,157,157,2,1,1
0,16832.07,145.5,145.5,4,7,1
20,7239.09,490,490,1,7,1
6,11913.2,100,100,6,16,1
6,19415.3,156,156,1,1,1
5,14750.5,99.8,99.8,26,17,1
1,17363.8,602.3,602.3,7,4,1
8,7124.49,1035,1035,2,7,1
8,7124.49,902,902,1,7,1
70,12157,24,24,2,2,1
3,7368.11,154,154,2,1,1
